nome do filme,data lançamento,gênero,duração (min),origem,receita fim semana abertura,receita noite abertura,orçamento,custo marketing
Shadow 2: Origins,2016-05-12,thriller,107,França-IDF,10.75,3.94,12.98,2.48
Storm 2,2017-07-06,action,118,EUA-CA,42.08,12.94,26.36,14.39
Pulse,2021-08-26,action,113,Brasil-SP,22.19,10.28,16.12,10.6
Rift 4,2016-12-13,sci-fi,149,Canadá-ON,79.09,23.23,64.19,39.31
Mirage 4,2022-06-10,thriller,96,EUA-PA,10.21,4.83,14.06,3.68
MegaPik Voyage,2020-08-20,adventure,124,EUA-GA,45.29,14.39,73.22,34.77
Voyage,2018-05-07,adventure,131,EUA-LA,26.19,9.33,34.37,21.24
Whisper,2017-05-19,drama,115,Austrália-QLD,5.89,1.45,8.89,3.35
Aurora: Legacy,2014-01-30,fantasy,136,EUA-TX,13.01,4.22,15.69,7.31
Paws: Legacy,2023-11-23,animation,94,Canadá-QC,19.26,4.13,33.69,17.26
Rift,2018-11-09,sci-fi,119,Coreia do Sul-Seoul,47.65,14.94,115.74,52.76
Chronicles: Origins,2021-05-14,fantasy,132,Reino Unido-WLS,19.61,6.49,18.71,7.77
Eclipse,2016-09-09,sci-fi,104,Brasil-RS,26.1,8.48,35.39,22.59
Paws,2024-10-09,animation,108,EUA-WA,40.2,9.3,64.09,34.0
Voyage: Eclipse,2020-07-17,adventure,141,México,56.45,21.55,47.49,29.85
Odyssey: Revenant,2017-04-22,adventure,130,EUA-NM,25.85,7.89,43.51,17.49
Neon 2,2013-04-11,thriller,94,Brasil-PA,12.39,5.02,18.79,5.98
Echo,2021-09-14,drama,114,EUA,9.19,2.53,7.89,2.86
Paws,2014-06-25,animation,106,Brasil-MG,22.58,8.64,26.48,11.76
Neon,2019-01-24,thriller,118,França-OCC,18.38,8.14,21.99,7.81
Neon: Horizons,2020-08-13,thriller,115,EUA,31.59,8.25,58.74,18.03
Pulse,2011-12-01,action,125,EUA-WA,64.03,24.58,80.01,47.28
Rift,2018-07-13,sci-fi,113,EUA-PA,22.01,6.76,48.25,18.11
MegaPik Embers,2017-12-19,drama,113,Índia-WB,10.76,3.38,5.95,2.6
MegaPik Neon 2,2016-06-24,thriller,100,Coreia do Sul-Busan,20.42,4.99,12.84,4.91
Echo,2017-11-16,drama,83,Coreia do Sul-Gyeonggi,12.38,5.17,9.35,3.73
Haunt,2013-10-24,horror,105,Reino Unido-WLS,10.4,4.42,8.02,3.51
Chronicles 2,2014-06-27,fantasy,109,EUA,48.47,14.53,40.63,19.46
Storm,2019-07-25,action,145,EUA-MA,36.19,15.38,33.71,23.18
Quantum,2018-10-15,sci-fi,125,EUA-WA,159.31,46.31,173.72,114.2
Mirage: Origins,2020-10-22,thriller,122,EUA-IL,7.07,3.03,7.1,2.15
MegaPik Eclipse: Uprising,2020-05-27,sci-fi,113,EUA-MA,26.45,5.77,15.92,15.63
Voyage 5,2022-06-09,adventure,131,EUA-MA,50.48,14.31,37.27,12.55
Rush,2016-04-15,action,128,EUA-MA,9.83,2.75,7.96,5.9
Frontier,2017-12-10,western,121,Brasil-AM,10.22,3.26,12.44,3.53
Mirage,2025-09-01,thriller,119,México-NLE,11.85,4.96,20.31,11.07
Echo: Revenant,2023-09-04,drama,131,Canadá-ON,8.16,2.93,11.79,3.59
MegaPik Neon,2023-02-11,thriller,126,Brasil-DF,9.83,3.7,23.15,3.28
Whisper 4,2023-12-05,drama,115,EUA-WA,10.92,2.61,5.87,1.48
Neon,2017-03-23,thriller,108,EUA-CA,10.07,2.45,8.5,3.41
Neon,2013-01-04,thriller,100,EUA-LA,14.89,6.78,22.81,8.09
Eclipse,2021-05-12,sci-fi,137,EUA-TX,59.79,14.14,80.14,36.87
Whisper,2023-08-03,drama,125,EUA,10.53,3.59,13.52,5.75
Aurora 3,2010-11-26,fantasy,113,Índia-UP,22.86,8.52,28.36,13.44
Whisper: Eclipse,2023-08-03,drama,111,EUA-LA,11.58,4.69,16.28,4.44
Mirage,2021-09-24,thriller,105,Canadá-BC,41.31,10.38,50.52,23.55
Haunt,2017-04-06,horror,92,Canadá-MB,1.73,0.79,0.72,0.35
Chronicles 2: Eclipse,2013-03-24,fantasy,110,Canadá-MB,22.16,7.64,20.86,12.26
Neon,2018-05-11,thriller,100,Canadá-QC,16.81,8.6,15.97,10.29
MegaPik Quantum 6: Horizons,2018-08-17,sci-fi,141,Reino Unido,49.8,17.6,34.89,25.33
Haunt,2017-06-21,horror,103,Brasil-RJ,22.92,8.25,21.57,9.41
MegaPik Whisper 2,2016-09-09,drama,141,Alemanha-NRW,5.1,2.04,15.8,2.65
Aurora: Revenant,2019-07-18,fantasy,146,EUA,90.81,28.86,136.57,96.3
Echo 5,2010-04-29,drama,121,Brasil-SP,23.59,4.25,21.03,6.33
Whisper,2010-05-20,drama,125,EUA-NM,10.88,2.3,6.03,1.58
Neon: Horizons,2017-12-28,thriller,116,França-OCC,48.11,12.3,63.89,39.36
Whisper: Reckoning,2015-05-15,drama,101,Alemanha-BE,9.81,2.69,8.1,2.59
Shadow,2025-02-20,thriller,120,EUA-LA,20.18,4.83,16.08,8.72
Shadow,2013-02-07,thriller,86,Austrália-QLD,14.02,4.34,31.46,12.96
Rift 3,2021-07-17,sci-fi,133,Brasil-RS,66.76,19.06,52.1,42.66
MegaPik Eclipse: Legacy,2011-05-26,sci-fi,137,EUA,14.3,4.29,9.44,7.43
MegaPik Eclipse,2022-05-19,sci-fi,134,EUA-MA,71.01,32.33,84.72,67.69
Chronicles,2014-02-11,fantasy,99,EUA-NY,15.56,3.74,33.08,15.41
Odyssey: Reckoning,2018-01-04,adventure,115,EUA-PA,15.61,3.19,22.67,10.84
Paws,2012-03-08,animation,103,Brasil-PE,17.33,4.54,28.94,16.34
Rift,2021-04-29,sci-fi,139,EUA-CA,40.82,18.68,42.25,29.86
Quantum,2012-03-07,sci-fi,124,EUA-TX,47.76,13.92,53.42,52.75
Neon 3,2024-10-31,thriller,97,Brasil-SC,19.64,4.27,11.16,6.67
Shadow,2019-03-26,thriller,100,Reino Unido-NIR,21.91,7.35,33.39,18.56
Voyage 6: Afterlight,2024-09-20,adventure,115,EUA-PA,54.95,15.46,59.35,27.76
Voyage 3,2013-05-14,adventure,122,EUA-LA,17.31,6.32,26.02,15.25
Embers,2021-12-24,drama,116,Reino Unido-ENG,1.83,0.42,1.03,0.38
Echo 2: Reckoning,2015-01-03,drama,101,EUA-PA,5.08,1.5,11.78,3.41
Shadow: Afterlight,2019-12-20,thriller,118,EUA-GA,17.96,8.0,14.36,10.33
Eclipse,2017-04-07,sci-fi,113,Coreia do Sul-Gyeonggi,49.0,12.39,65.85,53.04
Aurora,2021-05-28,fantasy,147,Nigéria-Abuja,48.3,11.82,43.69,26.38
Pulse,2024-08-09,action,128,Canadá,44.08,14.52,45.34,32.81
Whisper,2014-04-10,drama,105,Canadá-MB,9.44,2.9,20.2,3.12
Chronicles,2018-11-22,fantasy,134,EUA-MA,42.86,16.1,60.37,38.62
MegaPik Storm,2017-10-20,action,113,Brasil-CE,27.08,9.12,27.3,23.56
Odyssey 2,2021-03-12,adventure,138,EUA-PA,16.74,6.91,17.61,8.96
MegaPik Eclipse,2015-10-02,sci-fi,131,EUA-IL,47.37,14.28,89.29,70.52
MegaPik Storm 2,2014-08-21,action,115,EUA,41.42,21.77,45.1,25.64
Pulse: Horizons,2017-06-16,action,106,EUA-MA,56.43,13.84,51.76,31.84
Odyssey: Uprising,2021-02-26,adventure,124,Reino Unido-SCT,34.16,9.29,63.09,33.02
Embers: Reckoning,2019-04-13,drama,133,Índia-DL,9.31,2.97,10.3,2.39
Frontier: Uprising,2014-05-23,western,120,EUA,34.67,14.91,35.72,21.75
Aurora 5,2017-05-11,fantasy,142,EUA-PA,12.09,3.58,19.03,14.74
Quantum: Uprising,2013-02-15,sci-fi,149,EUA-LA,23.69,5.76,28.94,18.46
Chronicles,2022-08-11,fantasy,135,Brasil-PB,26.84,10.22,43.75,23.32
Harmony,2023-05-12,romance,120,EUA,9.44,2.91,19.42,5.34
MegaPik Paws: Origins,2020-10-23,animation,90,Canadá-MB,22.51,6.38,21.61,9.66
Neon 4,2020-01-09,thriller,91,Alemanha,11.81,4.23,22.34,7.23
Pulse,2015-05-28,action,112,Brasil-RS,19.54,9.84,30.37,18.68
MegaPik Eclipse,2018-05-15,sci-fi,121,Canadá-ON,33.64,13.43,44.91,32.56
Neon 2,2023-10-17,thriller,99,Brasil-PR,15.21,7.06,9.37,6.34
Frontier,2020-12-31,western,125,EUA-NM,12.5,3.24,13.42,3.99
Aurora 4,2022-03-04,fantasy,129,Canadá-MB,12.86,4.29,12.65,9.42
MegaPik Embers,2017-09-28,drama,127,EUA-LA,5.95,1.78,12.16,3.09
Eclipse,2022-01-13,sci-fi,105,EUA-NY,78.24,34.82,86.1,69.93
Frontier,2021-07-09,western,113,EUA,11.87,4.47,10.29,3.71
MegaPik Voyage,2021-03-04,adventure,137,Índia-WB,45.08,15.6,41.77,28.18
Harmony 2: Horizons,2016-04-28,romance,97,EUA-LA,16.99,6.92,18.33,5.73
Rush 3: Origins,2016-10-06,action,118,EUA-WA,63.25,28.14,72.74,41.75
MegaPik Harmony: Afterlight,2012-06-01,romance,76,Reino Unido-ENG,16.16,4.41,14.47,5.57
Haunt,2023-06-28,horror,97,Índia-WB,35.2,13.3,23.0,13.39
Eclipse,2023-10-27,sci-fi,137,Japão-Kanagawa,89.95,40.28,93.44,72.95
Haunt,2021-08-12,horror,104,Brasil-SC,11.1,5.24,11.8,4.45
Embers,2023-12-29,drama,106,Brasil-SC,11.82,4.58,14.98,5.45
Harmony,2022-07-07,romance,111,EUA-NY,13.67,5.43,24.85,5.01
Pulse,2017-05-05,action,129,Reino Unido-SCT,29.7,12.98,34.5,23.97
MegaPik Odyssey,2025-12-18,adventure,129,França-ARA,51.11,14.17,40.61,15.66
Mirage,2010-03-26,thriller,115,Canadá,14.66,4.84,11.68,5.51
Voyage: Legacy,2020-02-21,adventure,138,Brasil-SC,36.35,11.19,78.52,57.63
Mirage,2018-04-05,thriller,115,EUA-NY,14.91,5.22,20.52,6.46
Eclipse,2024-05-23,sci-fi,117,Brasil-MG,21.13,4.29,55.52,26.19
Mirage,2021-11-26,thriller,109,EUA-GA,34.46,12.94,55.43,21.91
Mirage: Eclipse,2014-02-12,thriller,90,Índia-UP,15.72,5.38,24.76,8.85
MegaPik Eclipse: Reckoning,2023-11-17,sci-fi,123,Índia-KA,87.03,32.6,72.7,50.29
Whisper,2020-01-04,drama,115,EUA-CA,9.54,2.38,20.02,7.5
Echo 5: Afterlight,2012-02-16,drama,106,EUA-WA,6.92,1.28,8.49,3.59
Rift,2025-10-21,sci-fi,136,Alemanha-BY,31.65,13.89,58.18,35.96
Rift 2,2016-04-17,sci-fi,116,Brasil,26.64,9.62,27.0,14.68
Paws,2010-10-20,animation,82,EUA-WA,15.39,4.72,22.11,11.36
Eclipse: Legacy,2022-08-25,sci-fi,131,Brasil-PA,37.72,8.91,36.14,18.46
Voyage,2017-09-15,adventure,115,Reino Unido-ENG,23.94,7.54,67.77,31.42
Pulse,2011-06-03,action,130,EUA,26.13,7.83,34.25,20.23
Neon,2013-12-19,thriller,109,EUA-WA,13.98,4.35,11.15,7.63
Odyssey,2019-08-30,adventure,145,Brasil,21.59,8.65,35.75,19.41
Haunt 2: Eclipse,2019-07-18,horror,98,EUA-CA,21.77,9.75,13.72,5.45
Aurora,2021-10-14,fantasy,135,EUA,22.0,7.51,19.37,10.98
Harmony 4: Reckoning,2016-04-09,romance,104,Reino Unido-SCT,11.79,3.95,21.3,5.77
Storm: Reckoning,2017-07-06,action,125,Brasil-GO,23.34,8.48,38.31,26.91
Mirage: Legacy,2025-05-18,thriller,109,Índia-WB,8.4,3.24,16.29,5.64
Frontier 2,2015-12-03,western,135,Reino Unido-WLS,21.48,6.4,22.11,4.3
Paws,2018-08-24,animation,106,Brasil-AM,17.97,3.23,30.11,7.95
MegaPik Echo,2017-10-06,drama,91,EUA-NM,10.71,3.73,13.12,3.02
Aurora,2019-02-28,fantasy,120,Índia-TN,39.14,10.27,59.67,45.68
Whisper,2022-09-29,drama,121,EUA-NM,3.43,1.04,1.42,0.31
Embers 2: Revenant,2015-10-08,drama,110,Brasil-PB,6.94,1.57,11.08,4.03
Rush 2,2024-01-12,action,123,EUA-GA,26.81,13.5,25.11,17.41
Rush: Afterlight,2020-03-19,action,109,EUA-NY,38.58,8.61,52.93,39.07
Mirage,2018-11-23,thriller,101,Reino Unido-NIR,18.01,6.06,20.36,9.32
Quantum: Reckoning,2015-02-14,sci-fi,132,Alemanha-NRW,35.3,9.09,22.56,19.43
Storm: Horizons,2013-11-21,action,110,EUA-PA,25.26,10.08,27.42,11.21
Frontier,2017-05-04,western,117,Austrália,6.33,1.8,7.34,3.46
Odyssey,2016-12-01,adventure,111,Brasil-CE,49.67,15.02,67.33,36.29
Whisper,2018-11-09,drama,110,Brasil-CE,12.27,3.73,16.19,5.65
Paws: Uprising,2020-07-02,animation,107,EUA-IL,31.93,7.19,43.36,14.08
MegaPik Voyage,2014-07-03,adventure,122,Brasil-RJ,21.58,6.15,15.97,10.36
Pulse,2018-06-14,action,129,EUA-TX,43.15,14.6,21.82,18.45
Echo: Legacy,2023-03-12,drama,101,EUA-TX,17.64,6.08,30.45,10.2
Whisper,2018-07-12,drama,125,EUA-CA,8.07,2.84,7.8,3.03
Haunt 4,2021-07-29,horror,77,EUA-CA,12.03,6.08,9.88,5.59
Pulse: Legacy,2013-12-05,action,116,EUA-LA,52.05,21.53,42.98,38.13
Mirage,2021-02-16,thriller,111,Brasil-SC,18.25,5.61,15.07,8.15
Embers,2017-03-03,drama,116,EUA-IL,8.52,3.07,13.5,2.97
Odyssey,2023-10-01,adventure,141,Nigéria-Rivers,32.83,9.5,48.55,40.97
Pulse 5,2014-11-21,action,119,EUA-NM,58.86,25.63,59.92,24.59
Frontier,2024-07-12,western,109,Reino Unido-SCT,24.79,7.5,42.12,18.79
MegaPik Haunt: Revenant,2015-07-21,horror,98,França-NAQ,14.13,3.95,11.01,4.22
Pulse: Horizons,2021-02-03,action,116,Brasil-CE,40.95,14.6,48.88,24.01
Whisper,2021-10-29,drama,109,Reino Unido-ENG,10.67,2.98,15.89,3.14
Harmony,2024-12-12,romance,88,Coreia do Sul-Gyeonggi,23.36,7.45,46.78,16.23
Whisper 6,2018-06-26,drama,100,Brasil-MG,8.84,3.46,6.5,1.52
Rush: Legacy,2010-02-26,action,137,Coreia do Sul-Gyeonggi,44.51,14.76,63.9,51.13
Paws,2021-07-01,animation,101,México-NLE,29.4,8.93,60.21,23.23
Mirage: Horizons,2023-01-13,thriller,118,EUA-TX,22.36,11.53,45.08,24.45
Harmony 3: Legacy,2022-01-07,romance,121,EUA-NY,12.13,3.94,17.88,5.24
Voyage,2021-04-23,adventure,127,EUA,16.59,5.63,32.57,10.81
Odyssey: Reckoning,2017-12-15,adventure,106,Brasil-SP,27.31,7.25,20.11,10.06
Embers: Revenant,2010-02-12,drama,106,Japão-Aichi,7.13,2.51,9.76,3.26
Rift,2020-06-21,sci-fi,132,Brasil-PB,45.42,8.18,34.16,23.18
Neon,2010-08-08,thriller,103,EUA-GA,15.11,4.38,25.05,6.64
Odyssey,2022-04-22,adventure,123,EUA-NY,15.49,4.74,18.48,9.68
Paws 2: Afterlight,2013-06-28,animation,107,França-OCC,21.33,6.46,17.91,12.06
Chronicles,2011-12-19,fantasy,117,Reino Unido-NIR,22.86,8.21,10.12,6.34
Quantum: Uprising,2019-08-26,sci-fi,146,EUA-GA,38.9,10.77,48.87,45.16
Paws,2016-03-10,animation,93,Índia-WB,24.2,7.41,28.53,11.24
Rush,2021-01-25,action,127,França-IDF,25.2,9.23,52.56,26.7
Whisper,2012-02-12,drama,130,Japão-Aichi,4.03,0.92,9.22,3.36
Mirage,2024-09-10,thriller,103,Brasil-SC,22.61,10.28,32.27,20.02
MegaPik Harmony,2020-03-02,romance,100,Brasil-DF,18.32,4.13,22.71,5.99
MegaPik Odyssey: Revenant,2016-09-29,adventure,128,Alemanha-BE,27.02,8.75,34.45,12.2
Mirage,2019-08-04,thriller,107,EUA-GA,20.84,7.18,23.05,8.99
Harmony 2,2020-10-13,romance,109,França-NAQ,13.84,4.65,19.17,7.04
Quantum,2012-12-06,sci-fi,126,Brasil-MG,13.98,6.87,12.17,8.43
Pulse: Origins,2023-09-14,action,114,Brasil-PA,39.49,16.87,62.14,43.01
Paws,2017-12-14,animation,111,Índia-MH,19.05,5.25,20.42,7.05
Frontier,2020-10-01,western,112,Brasil-AM,15.79,5.29,31.5,14.13
Mirage,2025-05-09,thriller,113,EUA-IL,17.0,6.68,29.51,8.92
Harmony 2,2022-01-07,romance,120,Reino Unido-ENG,8.27,2.57,37.99,3.8
Rift,2018-10-25,sci-fi,114,EUA-CA,78.27,30.54,89.87,73.93
Rush,2021-04-08,action,126,Reino Unido-NIR,23.92,5.32,49.2,29.02
Voyage 4,2023-09-15,adventure,113,Reino Unido-SCT,30.85,12.73,57.74,30.88
Embers,2015-03-01,drama,100,EUA-WA,10.39,4.2,7.47,1.47
Chronicles: Uprising,2013-11-21,fantasy,134,EUA-TX,13.6,4.04,20.53,14.65
Eclipse 3,2020-09-01,sci-fi,120,Brasil-DF,40.32,14.99,35.69,20.72
MegaPik Whisper,2012-12-06,drama,122,Brasil-BA,8.5,2.0,12.07,3.46
MegaPik Voyage 2: Revenant,2023-02-13,adventure,104,EUA-PA,26.22,7.6,25.58,13.03
Echo,2020-02-07,drama,123,EUA-IL,4.46,1.46,6.4,1.52
Storm,2024-01-04,action,125,EUA,33.74,12.7,67.2,34.71
Mirage,2019-07-12,thriller,100,França-NAQ,14.51,5.36,21.42,11.8
MegaPik Rush 2,2011-07-07,action,132,EUA-MA,29.78,13.51,19.59,14.28
Storm,2023-08-25,action,121,Brasil-PE,21.28,7.9,41.64,23.44
Chronicles,2013-10-25,fantasy,164,Índia-UP,32.55,13.85,28.89,14.18
Embers: Revenant,2019-07-18,drama,112,Brasil-DF,10.46,2.96,6.36,1.75
MegaPik Paws: Origins,2019-05-24,animation,115,EUA-TX,29.2,10.12,35.59,21.66
Harmony,2022-07-15,romance,97,EUA-GA,9.24,3.39,5.49,2.4
Harmony: Afterlight,2019-04-05,romance,111,Brasil-RJ,15.11,3.6,21.91,10.39
Quantum,2011-10-13,sci-fi,143,Brasil-GO,28.52,9.56,28.62,16.46
Neon: Eclipse,2019-08-01,thriller,118,EUA-TX,18.85,5.27,46.32,15.45
Whisper: Afterlight,2014-10-17,drama,127,EUA-NM,7.43,2.98,4.77,1.16
Rift 4: Horizons,2017-04-07,sci-fi,125,Índia-WB,18.3,5.83,27.7,14.87
MegaPik Harmony,2021-08-20,romance,83,EUA-PA,13.57,4.1,19.53,9.69
Voyage,2011-10-13,adventure,120,EUA-NY,31.16,6.89,44.36,23.24
Chronicles,2013-02-25,fantasy,137,México-NLE,15.65,6.53,36.93,18.05
Rush,2019-02-15,action,121,EUA-NY,46.89,17.51,88.05,52.38
Voyage,2024-11-22,adventure,116,Brasil-CE,59.57,21.33,83.44,42.9
Chronicles: Revenant,2018-06-14,fantasy,116,EUA-PA,15.58,6.08,19.13,7.23
Embers 5: Uprising,2020-05-12,drama,109,EUA-CA,15.49,6.59,18.1,6.44
Rift: Revenant,2025-04-24,sci-fi,124,EUA-CA,23.86,11.9,33.43,22.39
Embers: Legacy,2017-05-05,drama,124,EUA-NY,15.2,6.64,45.12,11.27
Rift,2015-02-12,sci-fi,98,Índia-WB,30.37,9.67,50.46,26.1
Voyage,2018-06-13,adventure,127,México-MEX,21.79,6.92,17.55,13.53
Pulse: Eclipse,2014-09-26,action,130,EUA-NY,24.53,8.59,47.25,16.61
Storm,2021-05-14,action,118,Reino Unido-SCT,37.28,13.03,32.72,12.73
Frontier: Afterlight,2021-05-20,western,105,EUA-NY,11.33,4.0,18.39,7.42
Odyssey: Afterlight,2021-05-28,adventure,116,Japão-Osaka,47.44,15.76,49.46,27.15
Paws,2015-11-27,animation,88,EUA,38.74,10.58,50.53,21.53
Storm: Reckoning,2021-04-09,action,134,EUA-TX,9.07,3.92,9.9,7.6
Mirage 2,2018-08-21,thriller,113,Reino Unido-NIR,30.31,11.41,35.54,14.24
Eclipse 5,2021-03-12,sci-fi,122,EUA-GA,30.25,15.32,40.96,19.8
Pulse: Legacy,2016-08-22,action,85,EUA-NM,21.02,7.54,20.99,10.67
Quantum 2,2021-04-03,sci-fi,129,Brasil-GO,23.58,8.31,33.63,15.85
Rift,2020-10-15,sci-fi,118,EUA-TX,77.84,32.01,90.55,81.11
Chronicles: Eclipse,2019-03-12,fantasy,115,EUA-WA,12.96,3.05,47.86,12.43
MegaPik Quantum 4,2020-03-12,sci-fi,133,Brasil-RS,41.53,11.48,34.17,22.59
MegaPik Paws 2,2018-09-28,animation,86,Brasil,49.37,13.68,65.79,24.86
Embers: Legacy,2025-07-27,drama,111,EUA-TX,16.17,3.79,18.47,7.52
Whisper,2018-08-17,drama,94,EUA-IL,3.47,0.98,1.55,0.45
Aurora,2010-01-28,fantasy,137,EUA-NY,19.94,6.09,64.97,29.24
Frontier,2011-06-17,western,131,EUA-TX,10.93,3.44,13.71,6.34
Shadow: Origins,2013-11-08,thriller,100,Brasil-RS,15.47,6.27,16.47,8.05
Pulse: Horizons,2025-06-21,action,115,EUA-NY,18.72,4.94,45.75,18.62
Rift: Afterlight,2022-03-17,sci-fi,126,Austrália-VIC,42.89,13.51,72.11,52.67
Quantum,2022-06-10,sci-fi,116,Brasil-MG,50.84,9.31,43.61,32.72
Rush,2018-04-12,action,124,Japão-Kanagawa,20.74,9.41,35.53,12.61
Haunt: Legacy,2011-06-09,horror,88,Brasil-DF,1.2,0.27,0.63,0.33
